"h","fmethod","sampleSize","mseBase","mseMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,"ets",100,12.581693410703,NA,13.0685782414793,12.221542975265,12.4977395325087,13.6069837726699,12.3749804653391
1,"ets",100,7.36127214496489,NA,6.14413216671865,7.06132256009767,7.05114240990098,6.75183546757669,7.08770281751527
1,"ets",100,3.55385030738289,NA,3.05074580310058,3.48971880758194,3.39562078015894,3.26500156434443,3.43287268890382
1,"ets",100,3.81111039292922,NA,1.0281342738194,1.2176913680593,1.34135156817595,5.54161912720066,1.20517041427889
1,"ets",100,12.653998655639,NA,9.72186683665911,14.2202899156079,12.6906209186127,7.3519496941171,13.4988675340066
1,"ets",100,45.5022197153386,NA,20.3155392300354,29.5128878292306,28.0668751894114,45.9810501116661,27.6559902912113
1,"ets",100,6.81814951031928,NA,8.54003488628994,7.43850967715058,7.65553614109935,4.53935699550609,8.03216553402853
1,"ets",100,26.2310770362152,NA,29.1514847775011,29.9510659404204,29.4926377635934,21.972076921527,30.2727120885959
1,"ets",100,15.0087777833953,NA,9.79735306299338,12.3380436881608,11.9455567560739,14.6885903013818,11.9291834026384
1,"ets",100,4.1882464597024,NA,2.84778034445214,3.43220047183318,3.37623941564861,4.19911633171021,3.36176728609634
1,"ets",100,1.43249851642942,NA,0.925354990977395,0.213296835534226,0.231186009944551,1.52068203153737,0.317077943433326
1,"ets",100,12.9839872428275,NA,15.2577494701661,14.55495242661,14.6298827225699,11.1092692781446,14.9462328141626
1,"ets",100,8.51351354025935,NA,10.4278338901042,8.38275141572583,8.61862815163599,9.2971840198479,8.48113020559845
1,"ets",100,4.22851718133907,NA,4.8500016342644,4.62902069252968,4.44922049595681,4.06229728281729,4.49767804874816
1,"ets",100,6.96409465136365,NA,4.09383101096933,5.13574280553677,5.24735148903674,8.39177883409226,4.98623796824881
1,"ets",100,10.0426728063401,NA,10.2650487556863,10.345638271119,10.239285333685,9.53576760834229,10.3513353535551
1,"ets",100,1.96201972819161,NA,2.57572483636924,2.28526047495886,2.29049950689963,1.75608378871132,2.33469244175983
