"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,15,"arima","infantgts",NA,NA,1348.86970572009,NA,1220.52726893021,1261.83002420613,1253.68407381258,1344.31133879182,1217.14669951863
1,16,"arima","infantgts",NA,NA,738.222003208973,NA,1054.2254144493,616.224611955436,897.654686568535,775.199062457345,770.907653385267
1,17,"arima","infantgts",NA,NA,871.52104417566,NA,1886.17487284944,774.986077344674,1694.23703761086,810.732458635556,1094.79644995984
1,18,"arima","infantgts",NA,NA,6337.18326911915,NA,6027.07508679642,5151.63502466548,4264.62204675888,6302.43407739861,4662.99309090007
1,19,"arima","infantgts",NA,NA,6979.93078842706,NA,9763.24712061664,6478.45644351422,7566.60243201752,6896.39598550352,6909.78431686354
1,20,"arima","infantgts",NA,NA,2916.83754846797,NA,3405.23481189424,3234.27666637012,3660.02071740978,2908.19933003741,3510.40297100919
1,21,"arima","infantgts",NA,NA,2121.64195839443,NA,4691.42469459131,2323.38449642105,3740.84421596575,2030.80922052865,2904.02101626517
1,22,"arima","infantgts",NA,NA,1683.83002629858,NA,1623.71418871316,1460.14475631828,1673.66428833025,1669.75735723158,1471.56242359116
1,23,"arima","infantgts",NA,NA,980.95858713177,NA,843.007624582216,1214.91327642199,1106.47504837597,921.331422055313,1217.63656358765
1,24,"arima","infantgts",NA,NA,1878.63403723036,NA,5989.31021225734,2911.16337270101,6490.4861933811,1647.19161183497,4465.94009118216
1,25,"arima","infantgts",NA,NA,3491.60851458932,NA,4451.27793782807,4875.34075901337,5916.99580368387,3425.28298935679,5509.26331654722
1,26,"arima","infantgts",NA,NA,1696.39074023931,NA,4207.56748267691,3247.47703965687,5881.41268893128,1549.7645749792,4351.30595962834
1,27,"arima","infantgts",NA,NA,9571.96525066855,NA,10657.2834171555,10859.6238079484,12101.4880314673,9549.25269206204,11550.2426100152
1,28,"arima","infantgts",NA,NA,4713.94350985336,NA,8406.90861240989,6967.08305761481,9530.48418871578,4495.56690459982,8648.06779577233
1,29,"arima","infantgts",NA,NA,29251.8516001803,NA,39452.221050216,35525.6876427289,38353.3959447499,29111.3608420226,38186.270987503
1,30,"arima","infantgts",NA,NA,2792.56779025355,NA,7471.58836420128,4631.06062933547,7732.22552756806,2490.69068286073,5948.93395288498
1,31,"arima","infantgts",NA,NA,11923.5338939797,NA,14789.344913652,14759.204699894,16153.9435537071,11839.5714352204,15747.8550351858
1,32,"arima","infantgts",NA,NA,8245.73892917016,NA,7408.55175589844,6277.06427097448,5929.01879431207,8186.08106645174,5815.89126911418
1,33,"arima","infantgts",NA,NA,4480.46910423853,NA,4604.29710070171,4690.73430752829,4851.37404701536,4431.14392050005,4707.07171019626
1,34,"arima","infantgts",NA,NA,3657.7388480331,NA,4333.93598793094,4362.55835306562,4891.06563269566,3607.95768996092,4658.48903262604
1,35,"arima","infantgts",NA,NA,4040.39713669982,NA,3456.65813481502,3972.87074790937,4008.00099952451,4005.7904045165,3820.99302434856
1,36,"arima","infantgts",NA,NA,2439.21710188452,NA,3423.42371735149,1701.44400795013,2511.48827069854,2187.45311937377,1987.73831800588
1,37,"arima","infantgts",NA,NA,1813.98179674619,NA,1040.8039336771,962.840782927462,1346.19541791304,1613.35653711616,1023.31823791266
1,38,"arima","infantgts",NA,NA,5096.73525608751,NA,5134.44362756436,5148.87710651958,5323.93932726945,5086.00740318616,5111.04269019912
1,39,"arima","infantgts",NA,NA,14112.9585887635,NA,14964.7129005481,14839.9917074821,15731.5849774938,14106.9951185387,14961.8652999665
1,40,"arima","infantgts",NA,NA,7203.60156900225,NA,7468.22955338673,7356.31629409356,7481.32773256442,7200.87602178916,7362.01663157527
1,41,"arima","infantgts",NA,NA,3192.26868932042,NA,2826.38726437408,2749.81118861902,2897.15374880168,3172.35310013789,2698.67540670145
1,42,"arima","infantgts",NA,NA,1412.77550580414,NA,1686.9783715448,1652.14920456766,1656.57206642352,1400.77904482743,1774.91848937951
1,43,"arima","infantgts",NA,NA,438.180430098642,NA,327.598717731351,348.011104488924,377.088221302157,408.58036137607,347.798789329584
1,44,"arima","infantgts",NA,NA,3216.56705045432,NA,3061.44555449689,3245.52773479947,3031.82121632296,3185.7005937529,3237.0759533631
