"h","iTest","fmethod","sampleSize","mseBase","mseMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,39,"ets",100,4.45400204003046,NA,5.08448981432282,4.47611450314319,4.39154581407893,4.37461221266456,4.40113522819297
1,40,"ets",100,8.01768943612407,NA,6.94751160081953,7.41482651932631,6.575402939085,7.50429283511328,6.89814595524258
1,41,"ets",100,13.0752815429154,NA,6.49591387015253,11.685081687671,9.75301109813432,11.637774944579,9.99421627002893
1,42,"ets",100,3.38596709223528,NA,4.09473525028516,3.52964978086198,4.89473865286341,3.54410752562876,4.22760912844153
1,43,"ets",100,16.0681191151403,NA,11.3042647155544,14.4201661922365,10.9840049593385,14.4762172507613,12.2764927830899
1,44,"ets",100,5.92917205605902,NA,13.2729573438535,6.96588780132028,15.061738192977,6.60393022643443,11.5627283336958
1,45,"ets",100,65.9174108747204,NA,76.5971134579228,67.9527754473663,73.415330584257,67.8944857364293,71.4685935227926
1,46,"ets",100,3.93694866570291,NA,3.02256630207643,3.48340877479514,2.33434580411029,3.5113045245561,2.87643243288676
1,47,"ets",100,3.57310317480349,NA,1.45132414361979,2.81217127975943,2.293666772608,3.01148952506491,2.2706453508325
1,48,"ets",100,1.43601337436464,NA,2.34628426825058,0.9659237544536,1.54533032654575,1.07353804409728,1.2155738986044
1,49,"ets",100,3.01821692234827,NA,7.72987350556255,3.51118429735384,6.56190437506483,3.25391413629571,5.13016243324459
1,1,"arima",100,3.44556281449415,NA,5.00694542838543,3.5628585977278,3.80998125744158,3.53532872267538,3.85185125247163
1,2,"arima",100,8.28673678024882,NA,10.4312103556302,8.44633427621071,8.49995474685845,8.31252133813148,8.66202398821044
1,3,"arima",100,6.78204118485893,NA,5.81930616051717,6.82095528074241,7.17714961297612,6.77874048063524,6.90822637954962
1,4,"arima",100,9.72791360627664,NA,9.53871605134904,9.90717886733743,10.3431453954752,9.83807790620984,10.1107147285316
1,5,"arima",100,1.09359446679344,NA,0.821286350729549,1.08966822593788,1.32254100117168,1.04437991167764,1.14210127624103
1,6,"arima",100,23.9123106538725,NA,21.9048946422433,23.3834573659865,22.5293768746377,23.4432535994056,22.6885215824245
1,7,"arima",100,2.19823794418683,NA,2.27414661470588,2.13145627211623,2.08644993781732,2.18598249380163,2.1331899894006
1,8,"arima",100,0.642971864972518,NA,0.438850721848667,0.605520253246256,0.553458475802319,0.567882909163892,0.547160733392763
1,9,"arima",100,6.4161878194092,NA,5.40863969269989,5.61896219428391,4.15178549684677,5.68617115189641,4.66411596060304
1,10,"arima",100,6.97738198402566,NA,8.65645613712848,7.38872497847188,8.39145928823977,7.37841263235065,8.16642056626721
1,11,"arima",100,9.78794223157706,NA,8.83015397350131,9.10837244776627,8.49988755959416,9.34009437295853,8.67290034523633
1,12,"arima",100,16.9230153936723,NA,15.965349315438,15.8817617511679,13.701974555229,16.0157452773291,14.4784806570043
1,13,"arima",100,17.3545849953235,NA,17.1716749389789,17.5472296447132,18.0377958121016,17.5179088125845,17.8450964396828
1,14,"arima",100,2.68750751574739,NA,3.25086945106278,3.00182354497493,4.38551106437596,2.92770542036211,3.84760908585295
