"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,1,"arima","infantgts",NA,NA,282.827720633008,NA,310.146134743574,252.204272164382,214.704332018991,193.209376875212,215.812567339087
1,2,"arima","infantgts",NA,NA,171.021560712986,NA,235.107263156801,162.568890891541,209.077682469544,128.447958761425,170.115126067132
1,3,"arima","infantgts",NA,NA,268.637014552904,NA,84.9435043035685,138.095064672948,184.116249785294,304.897541029721,132.15296608039
1,4,"arima","infantgts",NA,NA,664.564489573295,NA,394.074917948777,526.058400823153,367.391017410032,598.097607940142,392.862646685254
1,5,"arima","infantgts",NA,NA,3720.90762332561,NA,3837.69913217618,3550.64371670357,2915.83008286029,3518.61905920607,3118.26806557657
1,6,"arima","infantgts",NA,NA,441.889190499784,NA,493.682376813956,492.266755587763,656.135773335579,386.597614911034,635.968646371064
1,7,"arima","infantgts",NA,NA,776.406947280086,NA,1249.28032128841,823.000712825743,681.007925427292,617.873396399216,811.797723724366
1,8,"arima","infantgts",NA,NA,336.745910612512,NA,310.266865796499,288.691427908711,428.986260852152,370.645582343343,296.066815976988
1,9,"arima","infantgts",NA,NA,235.212380204029,NA,164.092793196418,225.058604004809,192.892139586075,175.351429896293,261.699554985423
1,10,"arima","infantgts",NA,NA,404.915838384124,NA,574.081874236458,497.180577813183,1227.85350377631,344.212673835412,1017.03730915895
1,11,"arima","infantgts",NA,NA,3974.5969783891,NA,2219.5389761108,3501.73344597919,3161.91250499952,3926.6448814754,3154.60327031187
1,12,"arima","infantgts",NA,NA,454.953130597022,NA,534.802865571248,441.488652913276,620.921145592351,430.815032507547,544.364575782194
1,13,"arima","infantgts",NA,NA,5925.6574281933,NA,3381.92747700937,5362.04551881531,4988.20516014641,5956.54190427855,5013.15216736875
1,14,"arima","infantgts",NA,NA,1861.55357693417,NA,1159.2397284074,1582.62956496329,1416.68280033295,1838.69102541641,1473.20552625259
1,15,"arima","infantgts",NA,NA,1348.86970572009,NA,1220.52726893021,1319.42989794629,1214.79258064217,1293.26543181254,1217.76001607562
