;;;;;;;;;;;;;;;;;;;;;;Ratios mse/base;;;;;;;;;;;;;;;
dset;h;iTest;fmethod;mseBase;mseBottomUp;mseMinT;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;esBayesFull;esBayesFullPos;esBayes;esBayesPos;;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;;;;;Mean ES;Median ES
infantgts;1;20;ets;2844.484106;3503.580297;NA;2931.560253;2947.635016;2942.714839;2995.410952;2989.505855;3125.133425;3119.859719;3116.619976;3144.833859;3148.727927;184.1085992;185.547366;191.6683539;192.4410118;;1.030612281;1.036263486;1.034533761;1.053059479;1.050983498;1.098664401;1.096810389;1.095671433;1.105590238;1.106959227;;;;;;
infantgts;1;21;ets;1769.991469;1721.304917;NA;1744.22343;1750.060056;1746.862935;1776.018694;1775.279358;1746.302073;1751.756514;1748.584584;1755.921037;1755.191061;149.7407063;150.5485068;143.5376933;143.7007573;;0.985441716;0.988739261;0.986932969;1.003405228;1.002987522;0.986616096;0.989697716;0.987905657;0.992050565;0.991638148;;;;;;
infantgts;1;22;ets;1425.700119;982.1580413;NA;1363.684909;1355.0802;1361.360138;1339.967264;1341.054539;1200.940948;1198.064244;1199.302813;1193.617089;1193.506189;139.7410119;138.7083707;123.9443514;124.0718336;;0.956501926;0.950466498;0.954871309;0.939866138;0.940628763;0.84235172;0.840333972;0.841202716;0.837214694;0.837136908;;;;;;
infantgts;1;23;ets;831.7737361;1432.925047;NA;1036.315589;1042.612589;1039.958659;1108.029992;1102.311264;1105.419059;1110.741573;1111.076272;1124.435842;1124.869107;129.845121;130.9120131;119.7228893;120.1273995;;1.245910449;1.253481017;1.25029033;1.332129092;1.325253751;1.328990098;1.335389091;1.335791482;1.351853025;1.352373919;;;;;;
infantgts;1;24;ets;1247.324577;2567.660917;NA;1626.046335;1634.220023;1634.768153;1646.745843;1645.754359;1861.964176;1852.117792;1851.925359;1871.752454;1873.352023;142.3755899;142.8076257;141.7341568;142.2861496;;1.303627272;1.310180248;1.310619692;1.320222397;1.319427509;1.492766366;1.484872363;1.484718087;1.500613785;1.501896185;;;;;;
infantgts;1;25;ets;3569.264917;5969.461003;NA;4265.110544;4273.791498;4268.653617;4289.787773;4292.010057;4710.526175;4703.607698;4706.779675;4727.080923;4730.411494;222.4978138;223.0118155;242.5068247;243.3788259;;1.194954884;1.197387024;1.195947546;1.201868696;1.202491313;1.319746862;1.317808515;1.318697206;1.324385002;1.325318127;;;;;;
infantgts;1;26;ets;1405.541289;3971.363588;NA;2013.179394;2026.866346;2027.508194;2008.193655;2011.219222;2584.04528;2579.283277;2580.377079;2591.135538;2594.038815;164.40792;163.6077926;177.4738025;177.7335125;;1.432316083;1.442053934;1.442510589;1.428768881;1.43092148;1.838469847;1.835081827;1.835860034;1.843514351;1.845579945;;;;;;
infantgts;1;27;ets;10306.14644;17959.52833;NA;11745.32163;11771.37854;11761.73615;11788.1329;11789.4247;13884.41074;13871.45595;13866.7022;13912.86963;13926.99859;391.2102965;391.3210698;466.2210391;467.1605856;;1.139642416;1.142170705;1.141235108;1.143796371;1.143921713;1.347197114;1.345940117;1.345478864;1.349958465;1.351329391;;;;;;
infantgts;1;28;ets;5578.758082;15701.859;NA;8445.283631;8461.941963;8458.317061;8447.728634;8455.304627;10102.09323;10093.81527;10075.87397;10120.55327;10130.09555;319.0356507;318.7163994;382.0198712;382.7681762;;1.513828617;1.516814646;1.516164877;1.514266887;1.515624894;1.810813999;1.809330163;1.80611416;1.814122986;1.815833452;;;;;;
infantgts;1;29;ets;29890.2255;43582.00075;NA;36010.09922;36075.70784;36076.46337;35996.12185;36018.03075;37137.14329;37120.17439;37106.00254;37172.5864;37191.43954;794.2003575;793.0826465;852.2040879;852.9516913;;1.204744983;1.206939969;1.206965246;1.20427736;1.205010339;1.242451091;1.241883384;1.241409254;1.243636867;1.244267613;;;;;;
